timestamps,TP9,AF7,AF8,TP10
1660571259.667,-3.906,-106.445,838.379,-363.770
1660571259.671,-865.234,-807.129,793.945,-249.023
1660571259.674,664.551,363.281,802.734,-274.902
1660571259.678,-637.695,-937.012,751.953,-395.020
1660571259.682,-1000.000,-1000.000,528.320,-550.781
1660571259.686,-148.926,-231.934,561.523,-456.055
1660571259.690,-948.730,-954.590,597.656,-275.879
1660571259.692,894.531,892.090,521.973,-225.586
1660571259.696,-321.289,-395.020,609.863,-317.383
1660571259.700,-1000.000,-1000.000,662.109,-516.602
1660571259.704,-265.625,-235.352,620.117,-477.051
1660571259.708,992.676,937.500,522.461,-227.539
1660571259.712,970.215,-903.809,519.531,-177.246
1660571259.716,-168.945,174.316,518.066,-378.418
1660571259.719,-1000.000,-1000.000,558.105,-531.250
1660571259.723,-578.613,-1000.000,625.977,-481.934
1660571259.727,682.617,79.590,656.738,-341.309
1660571259.731,-884.277,-790.527,744.629,-185.547
1660571259.735,45.898,153.809,790.527,-247.559
1660571259.692,894.531,892.090,521.973,-225.586
1660571259.696,-321.289,-395.020,609.863,-317.383
1660571259.700,-1000.000,-1000.000,662.109,-516.602
1660571259.704,-265.625,-235.352,620.117,-477.051
1660571259.708,992.676,937.500,522.461,-227.539
1660571259.712,970.215,-903.809,519.531,-177.246
1660571259.716,-168.945,174.316,518.066,-378.418
1660571259.719,-1000.000,-1000.000,558.105,-531.250
1660571259.723,-578.613,-1000.000,625.977,-481.934
1660571259.727,682.617,79.590,656.738,-341.309
1660571259.731,-884.277,-790.527,744.629,-185.547
1660571259.735,45.898,153.809,790.527,-247.559
1660571259.737,-1000.000,-1000.000,790.527,-362.305
1660571259.741,-440.430,-460.449,798.828,-281.250
1660571259.745,861.328,877.441,843.750,-90.332
1660571259.749,-883.301,-875.977,855.469,-19.043
1660571259.753,242.188,267.090,866.699,5.371
1660571259.757,-1000.000,-1000.000,809.082,-65.918
1660571259.761,-474.121,-339.844,877.441,-36.133
1660571259.764,857.422,941.406,970.215,367.676
1660571259.768,-904.785,-919.922,964.355,671.387
1660571259.772,525.879,495.117,963.867,653.809
1660571259.776,-953.125,-962.891,966.309,550.293
1660571259.780,-751.953,-933.594,965.820,495.117
1660571259.737,-1000.000,-1000.000,790.527,-362.305
1660571259.741,-440.430,-460.449,798.828,-281.250
1660571259.745,861.328,877.441,843.750,-90.332
1660571259.749,-883.301,-875.977,855.469,-19.043
1660571259.753,242.188,267.090,866.699,5.371
1660571259.757,-1000.000,-1000.000,809.082,-65.918
1660571259.761,-474.121,-339.844,877.441,-36.133
1660571259.764,857.422,941.406,970.215,367.676
1660571259.768,-904.785,-919.922,964.355,671.387
1660571259.772,525.879,495.117,963.867,653.809
1660571259.776,-953.125,-962.891,966.309,550.293
1660571259.780,-751.953,-933.594,965.820,495.117
1660571259.737,-1000.000,-1000.000,790.527,-362.305
1660571259.741,-440.430,-460.449,798.828,-281.250
1660571259.745,861.328,877.441,843.750,-90.332
1660571259.749,-883.301,-875.977,855.469,-19.043
1660571259.753,242.188,267.090,866.699,5.371
1660571259.757,-1000.000,-1000.000,809.082,-65.918
1660571259.761,-474.121,-339.844,877.441,-36.133
1660571259.764,857.422,941.406,970.215,367.676
1660571259.768,-904.785,-919.922,964.355,671.387
1660571259.772,525.879,495.117,963.867,653.809
1660571259.776,-953.125,-962.891,966.309,550.293
1660571259.780,-751.953,-933.594,965.820,495.117
1660571259.782,648.438,444.824,966.309,551.270
